code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
060		1					scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Sandpaper/op=eq/tf=description		Sandpaper		0								
061		2					os28087		Sanders Multi-Pac		0								
062		2					os28081		Steel Wool		0								
063		0					scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/tf=category,description		Safety Equipment		0								
064		1					scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/sf=category/se=Eye Protection/op=eq/tf=description		Eye Protection		0								
065		2					os28068b		The Bug Eye Wear		0								
066		0					scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/tf=category,description		Tool Storage		0								
067		1					scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/sf=category/se=Tool Belts/op=eq/tf=description		Tool Belts		0								
068		2					os28077		Carpenter's Tool Belt		0								
069		2					os28070		Electricians Tool Belt		0								
070		1					scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/sf=category/se=Toolboxes/op=eq/tf=description		Toolboxes		0								
071		2					os28069		Flat Top Toolbox		0								
