sku	partno	description	price	category	class	title	who_by	comment	thumb	image	nontaxable	weight	size	color	options	related	featured	download	dl_type	dl_location
00-404		The Two Fridas, KAHLO	3000000	Surrealists	Art	The Two Fridas	KAHLO, Frida	1939, Oil on canvas, 68 x 68 in. (173 x 173 cm)		two_fridas.jpg		5				00-403				
19-203		PANORAMIC PROCESSION, Keiko	200000	Surrealists	Art	Panoramic Procession	KEIKO	You are in a series of twisty passages....		19-203.jpg	no	5								
19-204		ERA'S END, Keiko	300000	Surrealists	Art	Era's End	KEIKO	Stranger and stranger...		19-204.jpg	no	5								
21-221		AMERICAN GOTHIC, by Wood	10000000	Americana	Art	American Gothic	WOOD, Grant	The quintessential piece of Americana.		21-221.jpg	no	10				99-102	Front			
22-002		Paul as Harlequin, PICASSO	12000000	Abstract	Art	Paul as Harlequin	PICASSO, Pablo	1924, Paris, Oil on canvas, 130 x 97.5 cm		paul_harlequin.jpg		5								
22-003		Woman with a Fan, PICASSO	10000000	Abstract	Art	Woman with a Fan	PICASSO, Pablo	Paris, [late spring] 1908, Oil on canvas, 59 7/8 x 39 3/4 in. (152 x 101 cm.)		womanfan.jpg		5								
22-200		Number 1A, 1948, POLLOCK	4000000	Abstract	Art	Number 1A, 1948	POLLOCK, Jackson	1948, Oil on canvas, 68" x 8'8"		pol2.jpg		10				22-201				
22-201		The Key, POLLOCK	5000000	Abstract	Art	The Key	POLLOCK, Jackson	1946, Oil on canvas, 59 x 84 in.		pol1.jpg		12				22-200				
34-101		FAMILY PORTRAIT, by Langan	1000000	Americana	Art	Family Portrait	LANGAN, Jean	Haunting view of Grandma's Parlor		34-101.png	no	10								
98-101		Black Cross, New Mexico, O'KEEFFE	8000000	Expressionists	Art	Black Cross, New Mexico	O'KEEFFE, Georgia	1929, Oil on canvas, 99.2 x 76.3 cm		okeefe1.jpg		3				98-102	Front			
98-102		Red Canna, O'KEEFFE	5000000	Expressionists	Art	Red Canna	O'KEEFFE, Georgia	c. 1919, Oil on board, 12 x 9 in. (30.5 x 22.9 cm)		okeeffe6.jpg		5				98-101				
99-102		THE ART STORE T-SHIRT	10	Americana,Shirts	Art	The Art Store T-Shirt	The Art Store	Guaranteed to be of the finest cheap T-shirt material		tshirt.jpg	no	1	S=Small, M=Medium, L=Large*, XL=Extra Large	red=Ruby Red, blue=Sky Blue*, green=Sea Green, Black, White						
99-301		Chair Car, HOPPER	900000	Americana	Art	Chair Car	HOPPER, Edward	1965, Oil on canvas, 40 x 50 inches		chair_car.jpg		5					Front			
99-322		My Gems, HARNETT	1000000	Americana	Art	My Gems	HARNETT, William	1888, Oil on wood, 18 x 14 in. (45.7 x 35.5 cm)		my_gems.jpg		5								
MVFAQ1		MiniVend FAQ (downloadable)	1	Docs	Art	MiniVend 4 Frequently-Asked Questions	HEINS, Mike	This product is downloadable. You can pay me by reading this!		../mvlogo.png	1	0				MVDOC1	Front	1	application/octet-stream	download/mvfaq.pod
MVDOC1		MiniVend Documentation (downloadable)	1	Docs	Art	MiniVend 4 Documentation	HEINS, Mike	This product is downloadable. You can pay me by reading this!		../mvlogo.png	1	0				MVFAQ1	Front	1	application/octet-stream	download/mvdocs.pod
MVTAG1		MiniVend Tag Reference (downloadable)	1	Docs	Art	MiniVend 4 Tag Reference	HEINS, Mike	This product is downloadable. You can pay me by reading this!		../mvlogo.png	1	0				MVFAQ1	Front	1	application/octet-stream	download/mvtags.pod
