code	en_US	de_DE	fr_FR	nl_NL
If you would like further information on constructing a store like this, please contact the Interchange Development Group	If you would like further information on constructing a store like this, please contact the Interchange Development Group			Mocht u nadere informatie wensen over het bouwen van een winkel als deze, neem dan contact op met de Interchange Development Group
In Stock	In Stock			Op Voorraad
In Stock Notification	In Stock Notification			Op voorraadmelding
In-Stock Notification	In-Stock Notification			Op voorraadmelding
January		Januar	Janvier	Januari
July		Juli	Juillet	Juli
June		Juni	Juin	Juni
Just complete enough to ensure one match.	Just complete enough to ensure one match.			Vul juist voldoende informatie in om verzekerd te zijn van slechts een zoekreslutaat.
Last	Last			Laatste
Last Name	Last Name			Achternaam
Log In	Log In			Aanmelden
Log Out	Log Out			Afmelden
Log me in automatically (sets cookie)	Log me in automatically (sets cookie)			Meld mij automatisch aan (zet cookie)
Lost your customer ID?	Lost your customer ID?			Uw klantnummer vergeten?
Lost your password?	Lost your password?			Wachtwoord vergeten?
Mailing Status	Mailing Status			
March		M&auml;rz	Mars	Maart
May		Mai	Mai	Mei
New Account	New Account			Nieuwe rekening
New items	New items			Nieuw artikel
Next	Next			Volgende
No	No			Nee
No change, go to checkout	No change, go to checkout			Geen wijziging, ga naar kassa
November		November	Novembre	November
October		Oktober	Octobre	October
Old password	Old password			Oud wachtwoord
Or send an e-mail to	Or send an e-mail to			Of stuur een e-mail naar
Or you can create a %snew account%s.	Or you can create a %snew account%s.			Of U kunt een %snieuwe rekening%s openen.
Order Returns	Order Returns			Retourzendingen
Order Tracking	Order Tracking			Traceren orders
Other	Other			Ander
Out Of Stock	Out Of Stock			Niet voorradig
Password	Password			Wachtwoord
Phone	Phone			Telefoon
Please %scontact us%s if you have any questions for us.	Please %scontact us%s if you have any questions for us.			Hebt U nog vragen, neem dan vrijblijvend %scontact%s met ons op.
Preview	Preview			
Previous	Previous			Vorige
Price	Price			Prijs
PriceDivide	1	0.5409	0.1632	
Product Views All	Product Views All			
ProductFiles				
Put me on these mail lists (if any)	Put me on these mail lists (if any)			Plaats mij op deze emaillijsten (indien aanwezig)
Quantity	Quantity			Aantal
Save Acct. Info	Save Acct. Info			
Save and Checkout	Save and Checkout			
Saved Carts / Recurring Orders	Saved Carts / Recurring Orders			Opgeslagen winkelwagens / herhalingsorders
Search	Search			Zoeken
Search by Category	Search by Category			Zoek op categorie
Search by Field	Search by Field			Zoek op veld
Search for	Search for			Zoek voor
See also	See also			Zie ook
See also...	See also...			Zie ook...
Send an email copy of my receipt	Send an email copy of my receipt			Stuur een copie per email
September		September	Septembre	September
Shipping Address	Shipping Address			Verzendadres
Shipping method	Shipping method			Verzendwijze
Specials	Specials			Aanbiedingen
State/Province	State/Province			Staat/Provincie
Stop Shopping	Stop Shopping			Stoppen met winkelen
Submit	Submit			Verzend
Take our	Take our			Doe ons
Thank you for visiting!	Thank you for visiting!			Bedankt voor uw bezoek!
Thank you for visiting.	Thank you for visiting.			Bedankt voor uw bezoek.
There were errors in your last submission.	There were errors in your last submission.			Er zijn fouten opgetreden bij de verzending
They are shown in %sthis color%s below.	They are shown in %sthis color%s below.			Ze zijn hieronder aangegeven in %sdeze kleur%s.
This is a demo store. If you would like further information on how you can build a store or how you can get custom services, please %svisit our web site%s.	This is a demo store. If you would like further information on how you can build a store or how you can get custom services, please %svisit our web site%s.			Dit is een demonstratie internet winkel. Wilt U meer informatie over hoe uzelf zo'n winkel bouwt of hoe U aangepaste diensten kunt krijgen, %sbezoek dan onze website%s.
This is a demonstration <b>help page</b> for your customer service area.	This is a demonstration <b>help page</b> for your customer service area.			Dit is een demonstratie <b>helppagina</b> voor uw klantenservice sectie. 
This item is currently in your %sshopping cart%s.	This item is currently in your %sshopping cart%s.			Dit artikel bevindt zich in uw %swinkelwagen%s.
Toll free	Toll free			
Toll-free	Toll-free			
United States	United States			Verenigde Staten
Username	Username			Gebruikersnaam
Verify	Verify			Verifieer
We need the bold fields to process your order	We need the bold fields to process your order			De vetgedrukte velden zijn nodig voor een correcte verwerking van dit formulier
We would also like you to take our	We would also like you to take our			Wij stellen het zeer op prijs als u deelneemt aan ons
Welcome	Welcome			Welkom
Welcome back	Welcome back			Welkom terug
Welcome to	Welcome to			Welkom bij
Yes	Yes			Ja
You are already logged in.	You are already logged in.			U bent al aangemeld.
You can contact us the following ways	You can contact us the following ways			U kunt ons als volgt bereiken
You have been logged out.	You have been logged out.			U bent afgemeld.
You might also like...	You might also like...			Misschien houdt U ook van...
Zip Code	Zip Code			Postcode
Zip/Postal Code	Zip/Postal Code			Postcode
all fields	all fields			alle velden
currency_symbol	$	DM	FF	Euro
decimal_point	.	.	.	.
default	1	0	0	1
e-mail	e-mail			
frac_digits	2	2	2	2
in	in			
in the category	in the category			in categorie
mon_decimal_point	.	,	,	.
mon_thousand_sep		 		
mon_thousands_sep	,	,	.	,
p_cs_precedes	1			1
p_sep_by_space			1	1
price_picture		DM ### ### ###,##		
primary	primary			primair
products		de_products	produits	
will update display	will update display			Ververst het scherm
