weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12	zone13
33	50.10	83.25	122.25	132.70	162.30	109.55	117.25	145.40	149.45	116.45	139.15	96.20	125.45
34	51.30	85.35	125.45	136.20	166.80	112.60	120.40	149.50	153.55	119.65	142.80	98.80	128.85
35	52.45	87.50	128.60	139.65	171.30	115.70	123.60	153.60	157.70	122.80	146.50	101.45	132.30
36	53.60	89.60	131.75	143.15	175.75	118.75	126.75	157.75	161.80	125.95	150.20	104.10	135.70
37	54.75	91.70	134.90	146.60	180.25	121.80	129.90	161.85	165.90	129.10	153.90	106.70	139.15
38	55.90	93.80	138.05	150.10	184.70	124.85	133.05	165.95	170.00	132.30	157.55	109.35	142.55
39	57.05	95.90	141.25	153.55	189.20	127.90	136.25	170.05	174.10	135.45	161.25	112.00	146.00
40	58.25	98.00	144.40	157.05	193.65	130.95	139.40	174.15	178.25	138.60	164.95	114.60	149.40
41	59.40	100.15	147.55	160.50	198.15	134.00	142.55	178.30	182.35	141.75	168.65	117.25	152.85
42	60.55	102.25	150.70	164.00	202.65	137.05	145.70	182.40	186.45	144.95	172.35	119.90	156.25
43	61.70	104.35	153.90	167.50	207.10	140.15	148.90	186.50	190.55	148.10	176.00	122.55	159.70
44	62.85	106.45	157.05	170.95	211.60	143.20	152.05	190.60	194.65	151.25	179.70	125.15	163.10
45	64.05	N/A	160.20	174.45	216.05	146.25	155.20	194.75	198.80	154.40	183.40	127.80	166.55
46	65.20	N/A	163.35	177.90	220.55	149.30	158.35	198.85	202.90	157.55	187.10	130.45	169.95
47	66.35	N/A	166.55	181.40	225.05	152.35	161.55	202.95	207.00	160.75	190.75	133.05	173.40
48	67.50	N/A	169.70	184.85	229.50	155.40	164.70	207.05	211.10	163.90	194.45	135.70	176.80
49	68.65	N/A	172.85	188.35	234.00	158.45	167.85	211.15	215.25	167.05	198.15	138.35	180.25
50	69.85	N/A	176.00	191.85	238.45	161.55	171.00	215.30	219.35	170.20	201.85	140.95	183.65
51	71.00	N/A	179.20	195.30	242.95	164.60	174.15	219.40	223.45	173.40	205.55	143.60	187.10
52	72.15	N/A	182.35	198.80	247.45	167.65	177.35	223.50	227.55	176.55	209.20	146.25	190.50
53	73.30	N/A	185.50	202.25	251.90	170.70	180.50	227.60	231.65	179.70	212.90	148.90	193.95
54	74.45	N/A	188.65	205.75	256.40	173.75	183.65	231.70	235.80	182.85	216.60	151.50	197.35
55	75.60	N/A	191.85	209.20	260.85	176.80	186.80	235.85	239.90	186.05	220.30	154.15	200.80
56	76.80	N/A	195.00	212.70	265.35	179.85	190.00	239.95	244.00	189.20	224.00	156.80	204.20
57	77.95	N/A	198.15	216.20	269.80	182.90	193.15	244.05	248.10	192.35	227.65	159.40	207.65
58	79.10	N/A	201.30	219.65	274.30	186.00	196.30	248.15	252.20	195.50	231.35	162.05	211.05
59	80.25	N/A	204.50	223.15	278.80	189.05	199.45	252.25	256.35	198.70	235.05	164.70	214.50
60	81.40	N/A	207.65	226.60	283.25	192.10	202.65	256.40	260.45	201.85	238.75	167.30	217.90
61	82.60	N/A	210.80	230.10	287.75	195.15	205.80	260.50	264.55	205.00	242.40	169.95	221.35
62	83.75	N/A	213.95	233.55	292.20	198.20	208.95	264.60	268.65	208.15	246.10	172.60	224.75
63	84.90	N/A	217.10	237.05	296.70	201.25	212.10	268.70	272.80	211.35	249.80	175.25	228.20
64	86.05	N/A	220.30	240.50	301.20	204.30	215.30	272.85	276.90	214.50	253.50	177.85	231.60
65	87.20	N/A	223.45	244.00	305.65	207.35	218.45	276.95	281.00	217.65	257.20	180.50	235.05
66	88.40	N/A	226.60	247.50	310.15	210.45	221.60	281.05	285.10	220.80	260.85	183.15	238.45
67	N/A	N/A	N/A	N/A	314.60	213.50	224.75	285.15	289.20	224.00	264.55	185.75	241.90
68	N/A	N/A	N/A	N/A	319.10	216.55	227.95	289.25	293.35	227.15	268.25	188.40	245.30
69	N/A	N/A	N/A	N/A	323.60	219.60	231.10	293.40	297.45	230.30	271.95	191.05	248.75
70	N/A	N/A	N/A	N/A	328.05	222.65	234.25	297.50	301.55	233.45	275.60	193.65	252.15
