weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12
36	31.55	43.45	74.75	55.65	59.35	47.35	73	61.90	85.65	66	87.75	68.30
37	32.10	44.15	76.25	56.55	60.45	48.20	74.50	63.20	87.30	67.25	89.50	69.70
38	32.65	44.85	77.75	57.45	61.55	49.05	76	64.50	88.95	68.50	91.25	71.10
39	33.20	45.55	79.25	58.35	62.65	49.90	77.50	65.80	90.60	69.75	93	72.50
40	33.75	46.25	80.75	59.25	63.75	50.75	79	67.10	92.25	71	94.75	73.90
41	34.30	46.95	82.25	60.15	64.85	51.60	80.50	68.40	93.60	72.25	96.50	75.30
42	34.85	47.65	83.75	61.05	65.95	52.45	82	69.70	94.95	73.50	98.25	76.70
43	35.40	48.35	85.25	61.95	67.05	53.30	83.50	71	96.30	74.75	100	78.10
44	35.95	49.05	86.75	62.85	68.15	54.15	85	72.30	97.65	76	101.75	79.50
45	36.50	-	88.25	-	69.25	55	86.50	73.60	99	77.25	103.50	80.90
46	37.05	-	89.75	-	70.35	55.85	88	74.90	100.35	78.50	105.25	82.30
47	37.60	-	91.25	-	71.45	56.70	89.50	76.20	101.70	79.75	107	83.70
48	38.15	-	92.75	-	72.55	57.55	91	77.50	103.05	81	108.75	85.10
49	38.70	-	94.25	-	73.65	58.40	92.50	78.80	104.40	82.25	110.50	86.50
50	39.25	-	95.75	-	74.75	59.25	94	80.10	105.75	83.50	112.25	87.90
51	39.80	-	97.25	-	75.85	60.10	95.50	81.40	107.10	84.75	114	89.30
52	40.35	-	98.75	-	76.95	60.95	97	82.70	108.45	86	115.75	90.70
53	40.90	-	100.25	-	78.05	61.80	98.50	84	109.80	87.25	117.50	92.10
54	41.45	-	101.75	-	79.15	62.65	100	85.30	111.15	88.50	119.25	93.50
55	42	-	103.25	-	80.25	63.50	101.50	86.60	112.50	89.75	121	94.90
56	42.55	-	104.75	-	81.35	64.35	103	87.90	113.85	91	122.75	96.30
57	43.10	-	106.25	-	82.45	65.20	104.50	89.20	115.20	92.25	124.50	97.70
58	43.65	-	107.75	-	83.55	66.05	106	90.50	116.55	93.50	126.25	99.10
59	44.20	-	109.25	-	84.65	66.90	107.50	91.80	117.90	94.75	128	100.50
60	44.75	-	110.75	-	85.75	67.75	109	93.10	119.25	96	129.75	101.90
61	45.30	-	112.25	-	86.85	68.60	110.50	94.40	120.60	97.25	131.50	103.30
62	45.85	-	113.75	-	87.95	69.45	112	95.70	121.95	98.50	133.25	104.70
63	46.40	-	115.25	-	89.05	70.30	113.50	97	123.30	99.75	135	106.10
64	46.95	-	116.75	-	90.15	71.15	115	98.30	124.65	101	136.75	107.50
65	47.50	-	118.25	-	91.25	72	116.50	99.60	126	102.25	138.50	108.90
66	48.05	-	119.75	-	92.35	72.85	118	100.90	127.35	103.50	140.25	110.30
67	-	-	-	-	93.45	73.70	119.50	102.20	128.70	104.75	142	111.70
68	-	-	-	-	94.55	74.55	121	103.50	130.05	106	143.75	113.10
69	-	-	-	-	95.65	75.40	122.50	104.80	131.40	107.25	145.50	114.50
70	-	-	-	-	96.75	76.25	124	106.10	132.75	108.50	147.25	115.90
