weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12	zone13
23	36.55	59.00	86.00	92.90	111.50	74.95	81.25	98.95	102.80	80.50	97.00	66.25	86.50
24	37.65	61.00	89.00	96.20	115.75	77.85	84.25	102.85	106.70	83.50	100.50	68.75	89.75
25	38.75	63.00	92.00	99.50	120.00	80.75	87.25	106.75	110.60	86.50	104.00	71.25	93.00
26	39.85	65.00	95.00	102.80	124.25	83.65	90.25	110.65	114.50	89.50	107.50	73.75	96.25
27	40.95	67.00	98.00	106.10	128.50	86.55	93.25	114.55	118.40	92.50	111.00	76.25	99.50
28	42.05	69.00	101.00	109.40	132.75	89.45	96.25	118.45	122.30	95.50	114.50	78.75	102.75
29	43.15	71.00	104.00	112.70	137.00	92.35	99.25	122.35	126.20	98.50	118.00	81.25	106.00
30	44.25	73.00	107.00	116.00	141.25	95.25	102.25	126.25	130.10	101.50	121.50	83.75	109.25
31	45.35	75.00	110.00	119.30	145.50	98.15	105.25	130.15	134.00	104.50	125.00	86.25	112.50
32	46.45	77.00	113.00	122.60	149.75	101.05	108.25	134.05	137.90	107.50	128.50	88.75	115.75
33	47.55	79.00	116.00	125.90	154.00	103.95	111.25	137.95	141.80	110.50	132.00	91.25	119.00
34	48.65	81.00	119.00	129.20	158.25	106.85	114.25	141.85	145.70	113.50	135.50	93.75	122.25
35	49.75	83.00	122.00	132.50	162.50	109.75	117.25	145.75	149.60	116.50	139.00	96.25	125.50
36	50.85	85.00	125.00	135.80	166.75	112.65	120.25	149.65	153.50	119.50	142.50	98.75	128.75
37	51.95	87.00	128.00	139.10	171.00	115.55	123.25	153.55	157.40	122.50	146.00	101.25	132.00
38	53.05	89.00	131.00	142.40	175.25	118.45	126.25	157.45	161.30	125.50	149.50	103.75	135.25
39	54.15	91.00	134.00	145.70	179.50	121.35	129.25	161.35	165.20	128.50	153.00	106.25	138.50
40	55.25	93.00	137.00	149.00	183.75	124.25	132.25	165.25	169.10	131.50	156.50	108.75	141.75
41	56.35	95.00	140.00	152.30	188.00	127.15	135.25	169.15	173.00	134.50	160.00	111.25	145.00
42	57.45	97.00	143.00	155.60	192.25	130.05	138.25	173.05	176.90	137.50	163.50	113.75	148.25
43	58.55	99.00	146.00	158.90	196.50	132.95	141.25	176.95	180.80	140.50	167.00	116.25	151.50
44	59.65	101.00	149.00	162.20	200.75	135.85	144.25	180.85	184.70	143.50	170.50	118.75	154.75
45	60.75	-	152.00	-	205.00	138.75	147.25	184.75	188.60	146.50	174.00	121.25	158.00
46	61.85	-	155.00	-	209.25	141.65	150.25	188.65	192.50	149.50	177.50	123.75	161.25
47	62.95	-	158.00	-	213.50	144.55	153.25	192.55	196.40	152.50	181.00	126.25	164.50
48	64.05	-	161.00	-	217.75	147.45	156.25	196.45	200.30	155.50	184.50	128.75	167.75
49	65.15	-	164.00	-	222.00	150.35	159.25	200.35	204.20	158.50	188.00	131.25	171.00
50	66.25	-	167.00	-	226.25	153.25	162.25	204.25	208.10	161.50	191.50	133.75	174.25
51	67.35	-	170.00	-	230.50	156.15	165.25	208.15	212.00	164.50	195.00	136.25	177.50
52	68.45	-	173.00	-	234.75	159.05	168.25	212.05	215.90	167.50	198.50	138.75	180.75
53	69.55	-	176.00	-	239.00	161.95	171.25	215.95	219.80	170.50	202.00	141.25	184.00
54	70.65	-	179.00	-	243.25	164.85	174.25	219.85	223.70	173.50	205.50	143.75	187.25
55	71.75	-	182.00	-	247.50	167.75	177.25	223.75	227.60	176.50	209.00	146.25	190.50
56	72.85	-	185.00	-	251.75	170.65	180.25	227.65	231.50	179.50	212.50	148.75	193.75
57	73.95	-	188.00	-	256.00	173.55	183.25	231.55	235.40	182.50	216.00	151.25	197.00
58	75.05	-	191.00	-	260.25	176.45	186.25	235.45	239.30	185.50	219.50	153.75	200.25
59	76.15	-	194.00	-	264.50	179.35	189.25	239.35	243.20	188.50	223.00	156.25	203.50
60	77.25	-	197.00	-	268.75	182.25	192.25	243.25	247.10	191.50	226.50	158.75	206.75
61	78.35	-	200.00	-	273.00	185.15	195.25	247.15	251.00	194.50	230.00	161.25	210.00
62	79.45	-	203.00	-	277.25	188.05	198.25	251.05	254.90	197.50	233.50	163.75	213.25
63	80.55	-	206.00	-	281.50	190.95	201.25	254.95	258.80	200.50	237.00	166.25	216.50
64	81.65	-	209.00	-	285.75	193.85	204.25	258.85	262.70	203.50	240.50	168.75	219.75
65	82.75	-	212.00	-	290.00	196.75	207.25	262.75	266.60	206.50	244.00	171.25	223.00
66	83.85	-	215.00	-	294.25	199.65	210.25	266.65	270.50	209.50	247.50	173.75	226.25
67	-	-	-	-	298.50	202.55	213.25	270.55	274.40	212.50	251.00	176.25	229.50
68	-	-	-	-	302.75	205.45	216.25	274.45	278.30	215.50	254.50	178.75	232.75
69	-	-	-	-	307.00	208.35	219.25	278.35	282.20	218.50	258.00	181.25	236.00
70	-	-	-	-	311.25	211.25	222.25	282.25	286.10	221.50	261.50	183.75	239.25
