weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12
22	61.90	75.45	94.60	99.70	117.45	89.10	97.40	113.20	125.50	119.10	137.55	113.85
23	64.30	77.80	97.75	103.25	121.95	92.40	100.75	117.65	130.40	123.60	142.55	118.05
24	66.65	80.10	100.90	106.80	126.45	95.65	104.15	122.05	135.30	128.05	147.55	122.25
25	69.05	82.40	104.10	110.35	130.90	98.90	107.50	126.50	140.20	132.55	152.55	126.50
26	71.40	84.75	107.25	113.90	135.40	102.20	110.90	130.90	145.10	137.00	157.55	130.70
27	73.80	87.05	110.40	117.45	139.85	105.45	114.25	135.35	150.00	141.50	162.60	134.90
28	76.15	89.40	113.55	121.00	144.35	108.70	117.65	139.75	154.90	146.00	167.60	139.15
29	78.50	91.70	116.75	124.55	148.80	112.00	121.00	144.20	159.80	150.45	172.60	143.35
30	80.90	94.00	119.90	128.05	153.30	115.25	124.35	148.60	164.70	154.95	177.60	147.55
31	83.25	96.35	123.05	131.60	157.80	118.50	127.75	153.05	169.60	159.40	182.60	151.80
32	85.65	98.65	126.20	135.15	162.25	121.80	131.10	157.45	174.50	163.90	187.60	156.00
33	88.00	100.95	129.40	138.70	166.75	125.05	134.50	161.90	179.40	168.40	192.60	160.20
34	90.40	103.30	132.55	142.25	171.20	128.30	137.85	166.30	184.30	172.85	197.65	164.40
35	92.75	105.60	135.70	145.80	175.70	131.60	141.25	170.75	189.20	177.35	202.65	168.65
36	95.10	107.95	138.85	149.35	180.20	134.85	144.60	175.15	194.10	181.80	207.65	172.85
37	97.50	110.25	142.05	152.90	184.65	138.15	148.00	179.60	199.00	186.30	212.65	177.05
38	99.85	112.55	145.20	156.45	189.15	141.40	151.35	184.05	203.90	190.75	217.65	181.30
39	102.25	114.90	148.35	159.95	193.60	144.65	154.75	188.45	208.80	195.25	222.65	185.50
40	104.60	117.20	151.50	163.50	198.10	147.95	158.10	192.90	213.70	199.75	227.65	189.70
41	107.00	119.50	154.65	167.05	202.60	151.20	161.45	197.30	218.60	204.20	232.65	193.95
42	109.35	121.85	157.85	170.60	207.05	154.45	164.85	201.75	223.50	208.70	237.70	198.15
43	111.70	124.15	161.00	174.15	211.55	157.75	168.20	206.15	228.40	213.15	242.70	202.35
44	114.10	126.50	164.15	177.70	216.00	161.00	171.60	210.60	233.30	217.65	247.70	206.60
45	116.45	128.80	167.30	181.25	220.50	164.25	174.95	215.00	238.20	222.15	252.70	210.80
46	118.85	131.10	170.50	184.80	225.00	167.55	178.35	219.45	243.10	226.60	257.70	215.00
47	121.20	133.45	173.65	188.35	229.45	170.80	181.70	223.85	248.00	231.10	262.70	219.25
48	123.60	135.75	176.80	191.85	233.95	174.05	185.10	228.30	252.90	235.55	267.70	223.45
49	125.95	138.05	179.95	195.40	238.40	177.35	188.45	232.70	257.80	240.05	272.70	227.65
50	128.30	140.40	183.15	198.95	242.90	180.60	191.85	237.15	262.70	244.55	277.75	231.90
51	130.70	142.70	186.30	202.50	247.35	183.85	195.20	241.60	267.60	249.00	282.75	236.10
52	133.05	145.05	189.45	206.05	251.85	187.15	198.55	246.00	272.50	253.50	287.75	240.30
53	135.45	147.35	192.60	209.60	256.35	190.40	201.95	250.45	277.40	257.95	292.75	244.55
54	137.80	149.65	195.80	213.15	260.80	193.65	205.30	254.85	282.30	262.45	297.75	248.75
55	140.20	152.00	198.95	216.70	265.30	196.95	208.70	259.30	287.20	266.95	302.75	252.95
56	142.55	154.30	202.10	220.20	269.75	200.20	212.05	263.70	292.10	271.40	307.75	257.20
57	144.95	156.60	205.25	223.75	274.25	203.45	215.45	268.15	297.00	275.90	312.75	261.40
58	147.30	158.95	208.45	227.30	278.75	206.75	218.80	272.55	301.90	280.35	317.80	265.60
59	149.65	161.25	211.60	230.85	283.20	210.00	222.20	277.00	306.80	284.85	322.80	269.80
60	152.05	163.60	214.75	234.40	287.70	213.30	225.55	281.40	311.70	289.30	327.80	274.05
61	154.40	165.90	217.90	237.95	292.15	216.55	228.95	285.85	316.60	293.80	332.80	278.25
62	156.80	168.20	221.10	241.50	296.65	219.80	232.30	290.25	321.50	298.30	337.80	282.45
63	159.15	170.55	224.25	245.05	301.15	223.10	235.65	294.70	326.40	302.75	342.80	286.70
64	161.55	172.85	227.40	248.60	305.60	226.35	239.05	299.15	331.30	307.25	347.80	290.90
65	163.90	175.15	230.55	252.10	310.10	229.60	242.40	303.55	336.25	311.70	352.85	295.10
66	166.25	177.50	233.70	255.65	314.55	232.90	245.80	308.00	341.15	316.20	357.85	299.35
67	N/A	N/A	N/A	N/A	N/A	235.65	249.55	313.00	346.15	320.95	363.10	303.85
68	N/A	N/A	N/A	N/A	N/A	238.40	253.30	318.00	351.15	325.70	368.35	308.35
69	N/A	N/A	N/A	N/A	N/A	241.15	257.05	323.00	356.15	330.45	373.60	312.85
70	N/A	N/A	N/A	N/A	N/A	243.90	260.80	328.00	361.15	335.20	378.85	317.35
