code	parent_fld	mgroup	msort	page	form	name	description	inactive	extended	next_line	indicator	exclude_on	depends_on	super	help_name	img_dn	img_up	img_sel	img_icon	url	member
80	73	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Rollers/op=eq/tf=description		Rollers		0													
81	80	Products	2	os28004		Ergo Roller		0													
82	73	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Sandpaper/op=eq/tf=description		Sandpaper		0													
83	82	Products	2	os28087		Sanders Multi-Pac		0													
84	82	Products	2	os28081		Steel Wool		0													
85	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/tf=category,description		Safety Equipment		0													
86	85	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/sf=category/se=Breathing Protection/op=eq/tf=description		Breathing Protection		0													
87	86	Products	2	os28068a		Breathe Right Face Mask		0													
88	85	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Safety Equipment/op=eq/sf=category/se=Eye Protection/op=eq/tf=description		Eye Protection		0													
89	88	Products	2	os28068b		The Bug Eye Wear		0													
90	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/tf=category,description		Tool Storage		0													
91	90	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/sf=category/se=Tool Belts/op=eq/tf=description		Tool Belts		0													
92	91	Products	2	os28077		Carpenter's Tool Belt		0													
93	91	Products	2	os28070		Electricians Tool Belt		0													
94	90	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Tool Storage/op=eq/sf=category/se=Toolboxes/op=eq/tf=description		Toolboxes		0													
95	94	Products	2	os28069		Flat Top Toolbox		0													
