sku	description	title	comment	prod_group	category
os28066	Big L Timmermanswinkelhaak	Big L Timmermanswinkelhaak	Deze "Big L"is een must voor elke timmerman. Ontworpen voor gebruikersgemak is deze winkelhaak perfect voor meten en aftekenen. Het kan niet fout!	Meetinstrumenten	Winkelhaken
os28068a	Breathe Right Face Mask	Breathe Right Face Mask	The unique design of our "Breathe Right" face mask is a must for all applications. Our patented micro-fiber insures that 90% of all dust and harmful materials are filtered out before you breathe them in.	Veiligheidsuitrusting	Bescherming luchtwegen
os28068b	The Bug veiligheidsbril	The Bug veiligheidsbril	Niks beschermd uw ogen beter dan "The Bug". Door het unieke ontwerp van deze veiligheidsbril is hij praktisch ondoorlaatbaar en door onze speciale ventilatietechniek vergeet U bijna dat U hem draagt!	Veiligheidsuitrusting	Oogbescherming
os28069	Flat Top Toolbox	Flat Top Toolbox	Deze duurzame gereedschapkist is perfect voor elke handige persoon. De uitneembare deksel is ideaal om mee te nemen en er is voldoende ruimte voor het opbergen van groter gereedschap.	Tool Storage	Gereedschapskisten
os28070	Electricians Tool Belt	Electricians Tool Belt	This tool belt is perfectly designed for the specialized tools of the electrical trade.  There is even a pocket for your voltage meter in this 100% leather belt!	Tool Storage	Gereedschapsschorten
os28072	Deluxe Hand Saw	Deluxe Hand Saw	Our deluxe hand saw is perfect for precision work. This saw features an ergonomic handle and carbide tipped teeth.  Available in 2', 2.5', and 3' lengths.	Handgereedschappen	Handzagen
os28073	Mini-Moker	Mini-Moker	Onze mini moker is superieur voor kleinere klussen die een beetje meer kracht vereisen. Probeer hem uit op bonenstaken en betonnen frames.	Handgereedschappen	Hamers
os28074	Rubber Mallet	Rubber Mallet	Perfectly weighted and encased in rubber this mallet is designed for ease of use in all applications.	Handgereedschappen	Hamers
os28075	Modelleerhamer	Modelleerhamer	Deze modelleerhamer is geschikt voor precisiewerk. Door zijn kleine kop past hij in kleine ruimtes en is daardoor geschikt voor meer ingewikkelde klusjes.	Handgereedschappen	Hamers
os28076	Digger Hand Trencher	Digger Hand Trencher	The "Digger" is a gardeners dream.  Specially designed for moving dirt it boasts two different styles of blade.  Use the one side for trenching, or use the other side with it's wider angle to get hard to handle roots out of the ground.  Available in 3" size only.	Handgereedschappen	Houwelen & Bijlen
os28077	Timmermansschort	Timmermansschort	Deze speciaal ontworpen timmermansschort heeft alles wat een timmerman nodig heeft. Hij is vervaardigd van 100% leer en bevat een hamer hockey, een rolmaat hockey en een holster voor een batterij aangedreven boor. Meerdere zakken voorkomen dat u heen en weer moet lopen naar uw gereedschapskist.	Tool Storage	Gereedschapsschorten
os28080	Het Blad Handschaaf	Het Blad Handschaaf	De perfecte handschaaf waarbij het door ons gepatenteerde blad u ervan verzekerd dat u het nooit hoeft te vervangen of te slijpen. Verkrijgbaar in breedtes 25mm, 38mm en 50mm.	Handgereedschappen	Handschaven
os28081	Steel Wool	Steel Wool	Available in all different weights this steel wool is more durable than any other.  Perfect for stain removal or smoothing hard to reach surfaces.	Schildermaterialen	Schuurpapier
os28082	24" Level	24" Level	Certified accuracy, High strength, long life, Built-in rubber grips for usefulness. Easy to clean.	Meetinstrumenten	Waterpassen
os28084	Rolbandmaat	Rolbandmaat	Het maakt niet uit wat u moet meten, dit is de meest ideale rolmaat die u kunt vinden. Al onze rolmaten zijn voorzien van een veer, waardoor ze razendsnel inrollen, en een slot om hem vast te zetten daar waar nodig. Verkrijgbaar in lengtes 3m, 5m, 7m en 10m.	Meetinstrumenten	Meetbanden
os28085	Big A A-Frame Ladder	Big A A-Frame Ladder	The "Big A" is the ideal A-Frame ladder.  Available in both 6' and 12' heights you are sure to find the one that meets your needs.  The treads of both sides are reinforced for climbing making placement a breeze.	Ladders	Ladders
os28086	Duimstok	Duimstok	Deze  6' duimstok is geschikt voor bijna elke gereedschapkist. Opgevouwen maar 12" is dit een handig en draagbaar meetinstrument.	Meetinstrumenten	Duimstokken
os28087	Sanders Multi-Pac	Sanders Multi-Pac	This multi-pack of sand paper includes all levels of sand paper from a very fine grit to a very course grit.  Ideal for all applications!	Schildermaterialen	Schuurpapier
os28108	Handveger	Handveger	Deze timmermans handveger is ideaal voor het kleine opruimwerk gedurende precisie werkzaamheden. Gemaakt van fijn paardehaar is hij zacht genoeg voor zelfs de meest kwetsbare oppervlakken.	Handgereedschappen	Borstels
os28109	Mini-Spade	Mini-Spade	This mini-spade is perfect hole digging, tree planting, or trenching.  The easy grip handle allows more control over thrust and direction.  Available in 4' only	Handgereedschappen	Spaden
os28110	Mighty Mouse blikschaar	Mighty Mouse blikschaar	Deze blikscharen zijn klein, handig en zeer geschikt voor het knippen van ventilatiegaten. Vanwege de gepatenteerde bladen kunnen ze ook gebruikt worden voor het snijden van aluminiumplaten. Alleen verkrijgbaar in 75mm.	Handgereedschappen	Scharen
os28111	Hedge Shears	Hedge Shears	A perfect fit for all users these 10" hedge shears are designed to make the most out of every cut. The ergonomic handle design will allow hours of cutting time so you can tackle those really big projects.  One size only	Handgereedschappen	Scharen
os28112	Tuinschop	Tuinschop	Het blad van deze tuinschop is 18cm lang en daardoor bijzonder geschikt voor de enhousiaste poter. Het ergonomisch ontwerp zorgt voor veel gebruikersgemak.	Handgereedschappen	Spaden
os28113	De Klauw Handharkje	De Klauw Handharkje	Extend the reach of your potting with "De Klauw". Deze drietand is perfect voor het omwoelen van de grond/aarde op de moeilijkste plaatsen in uw tuin. Een ideaal stuk gereed schap voor iedere tuinier. Verkrijgbaar in kleine en grote maten.	Handgereedschappen	Houwelen & Bijlen
os29000	3' Step Ladder	3' Step Ladder		Ladders	Trappen
