sku	description	title	template_page	comment	thumb	image	price	wholesale	prod_group	category	tax_category	nontaxable	weight	option_type	author	related	featured	gift_cert	download	dl_type	dl_location	inactive	url	sale_price	image_large
os28068b	The Bug Eye Wear	The Bug Eye Wear		Nothing protects your vision like "The Bug".  The unique design of these safety goggles is practically impenetrable and our special venting technology will make you forget you even have them on.	os28068b_b.gif	os28068b.gif	12.00	10	Safety Equipment	Eye Protection		1	1												
os28069	Flat Top Toolbox	Flat Top Toolbox		This heavy weight tool box is perfect for any handy person.  The lift out top is perfect for a carry along, and there is plenty of open space for larger tool storage.	os28069_b.gif	os28069.gif	44.99	35	Tool Storage	Toolboxes		1	2												
os28070	Electricians Tool Belt	Electricians Tool Belt		This tool belt is perfectly designed for the specialized tools of the electrical trade.  There is even a pocket for your voltage meter in this 100% leather belt!	os28070_b.gif	os28070.gif	39.99	30	Tool Storage	Tool Belts		1	1												
os28072	Deluxe Hand Saw	Deluxe Hand Saw		Our deluxe hand saw is perfect for precision work. This saw features an ergonomic handle and carbide tipped teeth.  Available in 2', 2.5', and 3' lengths.	os28072_b.gif	os28072.gif	17.99	14	Hand Tools	Hand Saws		1	1												
os28073	Mini-Sledge	Mini-Sledge		Our mini-sledge hammer is superior for smaller jobs that require a little more power.  Give this one a try on landscaping stakes and concrete frames.	os28073_b.gif	os28073.gif	24.99	18	Hand Tools	Hammers		1	3												
os28074	Rubber Mallet	Rubber Mallet		Perfectly weighted and encased in rubber this mallet is designed for ease of use in all applications.	os28074_b.gif	os28074.gif	24.99	18	Hand Tools	Hammers		1	2												
os28075	Modeling Hammer	Modeling Hammer		Ideal for the hobbiest this modeling hammer is made for the delicate work. Fits easily into small spaces and the smaller head size is perfect for intricate projects.	os28075_b.gif	os28075.gif	14.99	10	Hand Tools	Hammers		1	2												
os28076	Digger Hand Trencher	Digger Hand Trencher		The "Digger" is a gardeners dream.  Specially designed for moving dirt it boasts two different styles of blade.  Use the one side for trenching, or use the other side with it's wider angle to get hard to handle roots out of the ground.  Available in 3" size only.	os28076_b.gif	os28076.gif	18.99	15	Hand Tools	Picks & Hatchets		1	1												
os28077	Carpenter's Tool Belt	Carpenter's Tool Belt		Specially designed this tool belt comes with all of the carpenter's necessities.  Made of 100% leather this tool belt boasts a hammer hockey, tape measure hockey, and cordless drill holster.  Multiple pockets will allow you to eliminate those extra trips back to the tool box.	os28077_b.gif	os28077.gif	39.99	30	Tool Storage	Tool Belts		1	1												
os28080	The Blade Hand Planer	The Blade Hand Planer		The perfect precision hand planer.  Our patented blade technology insures that you will never have to change or sharpen the blade.  Available in 1", 1.5", and 2" widths.	os28080_b.gif	os28080.gif	19.99	16	Hand Tools	Hand Planes		1	1												
os28081	Steel Wool	Steel Wool		Available in all different weights this steel wool is more durable than any other.  Perfect for stain removal or smoothing hard to reach surfaces.	os28081_b.gif	os28081.gif	8.99	6	Painting Supplies	Sandpaper		1	1												
os28082	24" Level	24" Level		Certified accuracy, High strength, long life, Built-in rubber grips for usefulness. Easy to clean.	os28082_b.gif	os28082.gif	34.99	17.5	Measuring Tools	Levels			1												
os28084	Tape Measure	Tape Measure		No matter what you need to measure you are sure to find the ideal tape measure here.  All of our tape measures are spring loaded for fast retraction and all lock in place for extended measuring.  Available in 10', 16', 24', and 36'.	os28084_b.gif	os28084.gif	19.99	15	Measuring Tools	Tape Measures		1	1												
os28085	Big A A-Frame Ladder	Big A A-Frame Ladder		The "Big A" is the ideal A-Frame ladder.  Available in both 6' and 12' heights you are sure to find the one that meets your needs.  The treads of both sides are reinforced for climbing making placement a breeze.	os28085_b.gif	os28085.gif	36.99	30	Ladders	Ladders		1	3												
os28086	Folding Ruler	Folding Ruler		This 6' folding ruler is a perfect fit in almost any toolbox.  Only 12" folded this measuring tool is handy and portable.	os28086_b.gif	os28086.gif	12.99	9	Measuring Tools	Rulers		1	1												
os28087	Sanders Multi-Pac	Sanders Multi-Pac		This multi-pack of sand paper includes all levels of sand paper from a very fine grit to a very course grit.  Ideal for all applications!	os28087_b.gif	os28087.gif	11.99	8	Painting Supplies	Sandpaper		1	1												
os28108	Hand Brush	Hand Brush		This carpenters hand brush is ideal for the small clean ups needed for precision work. Made of refined horse hair it is perfect for even the most sensitive of materials.	os28108_b.gif	os28108.gif	5.99	3	Hand Tools	Brushes		1	1												
os28109	Mini-Spade	Mini-Spade		This mini-spade is perfect hole digging, tree planting, or trenching.  The easy grip handle allows more control over thrust and direction.  Available in 4' only	os28109_b.gif	os28109.gif	24.99	19	Hand Tools	Shovels		1	2												
os28110	Mighty Mouse Tin Snips	Mighty Mouse Tin Snips		Small and ready to go these tin snips are ideal for cutting patches and vent holes.  With the patented blades they are also perfect for cutting aluminum flashing.  Available in 3" length only.	os28110_b.gif	os28110.gif	14.99	12	Hand Tools	Shears		1	1												
os28111	Hedge Shears	Hedge Shears		A perfect fit for all users these 10" hedge shears are designed to make the most out of every cut. The ergonomic handle design will allow hours of cutting time so you can tackle those really big projects.  One size only	os28111_b.gif	os28111.gif	19.99	15	Hand Tools	Shears		1	1												
os28112	Garden Shovel	Garden Shovel		The blade on this garden shovel is 7" inches long making it ideal for the potting enthusiast.  Ergonomic design makes for ease of use with this tool.	os28112_b.gif	os28112.gif	13.99	10	Hand Tools	Shovels		1	2												
os28113	The Claw Hand Rake	The Claw Hand Rake		Extend the reach of your potting with "The Claw".  Perfect for agitating soil in the most difficult places this 3 tine tool is ideal for every gardener.  Small and Large sizes available.	os28113_b.gif	os28113.gif	14.99	12	Hand Tools	Picks & Hatchets		1	1												
os29000	3' Step Ladder	3' Step Ladder			os29000_b.gif	os29000.gif	44.99	22.5	Ladders	Step Stools															
